Timestamp,Age,Gender,Country,State,Occupation,Do you work/study in you state of Residence?,"Financially, which period was more difficult for you?","Emotionally / mentally, which period was more difficult for you?",During which period was your health more affected?,Did you or someone you know suffer from covid19?,Who suffered from covid19?,How severe was the condition,How were you feeling during this time?,How did your interaction with friends change during covid19?,What was your major method of connecting with friends during lockdown?,How was your relationship with your family affected during covid19?,How do you feel about change in interaction with the colleagues/ classmates/ customers?,Did you feel that in case of emergency you can rely on friends/relatives for help,How was your occupation affected by covid19?,How was your studies affected by covid19?,Did your household expenditure increase or decrease?,Did you receive any incentive or financial help from government/bank?,Did your family had to make extra healthcare expenditure during covid19?,Does that person in your family have health insurance?,Did you have to take loan or insurance?,Did you feel anxious about your future during lockdown?,Did you feel lonely during lockdown?,Did you feel frustrated being confined at home for long time?,How many times you became a part of family argument?,Did you feel downhearted or depressed during lockdown/ covid?,How did change in occupation/ studies affect you emotionally and mentally?,Do you agree with the rule of complete lockdown in case of any future pandemic?,Do you feel more prepared to handle such situation in future?,"Do you feel that the healthcare, government, financial and educational sectors are capable of handling such situation in future?"
10/12/2021 11:52:17,19,Male,India,Uttar Pradesh,Student,Yes,2nd wave(2021),2nd wave(2021),My health was not affected,Yes,Family member,3,Little worried,4,Call,4,It became more interactive,4,Not relevant for me,Declined,No change,No,Yes,Yes,None,Sometimes,Rarely,Sometimes,Not at all,Rarely,Normal,No,Yes,Maybe
10/12/2021 11:53:54,19,Female,India,Rajasthan,Student,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,3,Little worried,1,Text,5,I felt no change,4,Not relevant for me,Normal,No change,No,Yes,No,None,Rarely,Never,Never,Not at all,Rarely,Normal,Yes,Yes,Yes
10/12/2021 11:54:59,20,Female,India,Delhi,Student,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,3,Stressed,3,Text,3,Interaction became difficult,5,Not relevant for me,Declined,Increase,No,Yes,Yes,None,Most of the time,Sometimes,Sometimes,sometimes,Sometimes,Stressed,Yes,Yes,Yes
10/12/2021 11:56:06,21,Female,India,Rajasthan,Student,Yes,2nd wave(2021),2nd wave(2021),My health was not affected,No,,,,4,Call,4,Interaction became difficult,4,Not relevant for me,Declined,Increase,No,Yes,Yes,Loan,Sometimes,Sometimes,Sometimes,sometimes,Rarely,Stressed,Yes,Yes,Maybe
10/12/2021 11:58:55,20,Female,India,Gujarat,Student,No,2nd wave(2021),1st wave(2020),My health was not affected,Yes,"Family member, Close friend",2,Little worried,2,Text,4,Interaction became difficult,4,Not relevant for me,Declined,No change,No,No,,,Sometimes,Sometimes,Rarely,sometimes,Sometimes,Normal,Maybe,Yes,Maybe
10/12/2021 12:07:30,21,Male,India,Uttar Pradesh,Student,Yes,Similar during both,2nd wave(2021),My health was not affected,Yes,Family member,5,Stressed,2,Text,4,Interaction became difficult,3,Not relevant for me,Declined,No change,No,Yes,Yes,None,Most of the time,Most of the time,Sometimes,sometimes,Sometimes,Stressed,Maybe,Yes,No
10/12/2021 12:09:21,25,Male,Indian,Himachal pradesh,Business,Yes,1st wave(2020),1st wave(2020),1st wave(2020),Yes,Family member,2,Little worried,5,Video Call,5,Interaction became difficult,3,Lost job/ Business Closed,Not relevant for me,Decrease,No,Yes,No,None,Sometimes,Never,Rarely,sometimes,Rarely,Normal,No,Maybe,No
10/12/2021 12:10:50,21,Male,India,Uttar Pradesh,Student,Yes,Similar during both,Similar during both,Similar during both,Yes,"Myself, Family member",3,Stressed,1,Call,4,Interaction became difficult,5,No Change,Declined,Increase,No,Yes,Yes,None,Most of the time,Most of the time,Never,sometimes,Most of the times,Stressed,Maybe,Maybe,Yes
10/12/2021 12:13:51,21,Female,India,Chandigarh,Student,No,Similar during both,1st wave(2020),1st wave(2020),Yes,Close friend,5,Little worried,2,Text,5,Interaction became difficult,1,Not relevant for me,Declined,No change,No,No,,,Sometimes,Sometimes,Most of the time,Very Rare,Sometimes,Stressed,Yes,Yes,No
10/12/2021 12:14:55,19,Male,India,Haryana,Student,Yes,Similar during both,Similar during both,1st wave(2020),No,,,,3,Call,4,Interaction became difficult,2,Not relevant for me,Improved,No change,No,Yes,Yes,None,Never,Never,Rarely,Not at all,Rarely,Relaxed,Maybe,Maybe,Maybe
