timestamp,age,gender,country,state,occupation,work_in_state,diff_financial,diff_emotional,diff_health,suffer_y_n,suffer_who,suffer_cond,suffer_feel,connect_friends,connect_method,connect_family,connect_collegues,rely_help,affected_occupation,affected_studies,House_expend,govt_help,extra_expend,health_insurance,loan,emo_anxious_future,emo_lonely,emo_frustrated,emo_argument,emo_depressed,emo_change,future_lockdown,future_self,future_govt
2021-10-12 12:09:21,25,Male,Indian,Himanchal Pradesh,Business,Yes,1st wave(2020),1st wave(2020),1st wave(2020),Yes,Family member,2.0,Little worried,5,Video Call,5,Interaction became difficult,3,Lost job/ Business Closed,Not relevant for me,Decrease,No,Yes,No,None,Sometimes,Never,Rarely,Sometimes,Rarely,Normal,No,Maybe,No
2021-10-12 12:17:15,30,Female,India,Himanchal Pradesh,Corporate/ Private,No,Similar during both,Similar during both,My health was not affected,No,,,,1,Video Call,4,Interaction became difficult,4,Got new job / Started new Business,Normal,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,Rarely,Sometimes,Stressed,Maybe,Yes,Yes
2021-10-12 12:28:49,23,Male,India,Himanchal Pradesh,Corporate/ Private,Yes,Similar during both,Similar during both,My health was not affected,No,,,,3,Video Call,3,I felt no change,3,Lost job/ Business Closed,Normal,Increase,No,Yes,Yes,Insurance,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Normal,Yes,Yes,No
2021-10-12 12:29:01,25,Female,India,Uttar Pradesh,Corporate/ Private,No,Similar during both,2nd wave(2021),1st wave(2020),Yes,"Myself, Family member, Close friend",3.0,Little worried,5,Call,5,It became more interactive,5,Got new job / Started new Business,Not relevant for me,No change,Yes,Yes,Yes,Insurance,Most of the time,Sometimes,Rarely,Sometimes,Sometimes,Normal,Yes,Yes,No
2021-10-12 12:29:38,26,Male,India,Bihar,Corporate/ Private,Yes,Similar during both,1st wave(2020),2nd wave(2021),Yes,"Myself, Family member",3.0,Little worried,4,Call,4,Interaction became difficult,4,No Change,Not relevant for me,Increase,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Normal,Maybe,Yes,No
2021-10-12 12:45:49,36,Female,India,Himanchal Pradesh,Medical,Yes,Similar during both,Similar during both,My health was not affected,Yes,Close friend,3.0,Little worried,2,Video Call,4,Interaction became difficult,4,Not relevant for me,Not relevant for me,Increase,No,Yes,No,None,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Normal,Yes,Yes,Yes
2021-10-12 13:05:34,22,Female,India,Bihar,Corporate/ Private,No,Similar during both,1st wave(2020),My health was not affected,Yes,"Family member, Close friend",4.0,Little worried,1,Call,2,Interaction became difficult,4,No Change,Not relevant for me,Increase,No,No,,,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Stressed,Maybe,No,Maybe
2021-10-12 13:16:09,41,Female,India,Others,Education,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member",2.0,Stressed,4,Text,2,I felt no change,5,No Change,Not relevant for me,No change,No,Yes,Yes,None,Rarely,Sometimes,Sometimes,Rarely,Rarely,Not relevant,Yes,Yes,Yes
2021-10-12 13:17:36,23,Female,India,Karnataka,Corporate/ Private,Yes,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,3.0,Little worried,3,Call,4,Interaction became difficult,4,No Change,Normal,Decrease,No,No,,,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Stressed,Yes,Yes,Maybe
2021-10-12 13:28:50,53,Female,India,Uttar Pradesh,Not employed/ Homemaker,Yes,Similar during both,Similar during both,My health was not affected,Yes,Family member,4.0,Little worried,3,Call,4,I felt no change,3,No Change,Not relevant for me,No change,No,No,,,Rarely,Never,Rarely,Sometimes,Rarely,Relaxed,Yes,No,Maybe
